256 192
0.068112 -0.201287 0.208481
0.067380 -0.201438 0.206213
0.066916 -0.202175 0.204833
0.065856 -0.201516 0.201469
0.064931 -0.201129 0.198554
0.064208 -0.201181 0.196304
0.063817 -0.201998 0.195158
0.062899 -0.201533 0.192257
0.062643 -0.202639 0.191556
0.061269 -0.200992 0.187129
0.060491 -0.200762 0.184683
0.059846 -0.200835 0.182678
0.059202 -0.200886 0.180677
0.058887 -0.201751 0.179772
0.058116 -0.201431 0.177341
0.057804 -0.202272 0.176440
0.057296 -0.202592 0.174888
0.056434 -0.201950 0.172144
0.055671 -0.201538 0.169730
0.055202 -0.201886 0.168298
0.054959 -0.202835 0.167625
0.054234 -0.202450 0.165332
0.053865 -0.203022 0.164231
0.053336 -0.203134 0.162592
0.052712 -0.202957 0.160634
0.051931 -0.202303 0.158140
0.051662 -0.203092 0.157373
0.050726 -0.201931 0.154351
0.050459 -0.202693 0.153588
0.050226 -0.203543 0.152935
0.049485 -0.202875 0.150568
0.048874 -0.202562 0.148635
0.048548 -0.203090 0.147666
0.048318 -0.203899 0.147020
0.047805 -0.203828 0.145415
0.047513 -0.204424 0.144559
0.047128 -0.204718 0.143385
0.046775 -0.205099 0.142319
0.046611 -0.206068 0.141892
0.046509 -0.207235 0.141678
0.046314 -0.208099 0.141146
0.046243 -0.209365 0.141038
0.045459 -0.208279 0.138499
0.045173 -0.208813 0.137654
0.045320 -0.210790 0.138287
0.045312 -0.212255 0.138391
0.044780 -0.211940 0.136706
0.045049 -0.214353 0.137757
0.043691 -0.211150 0.133243
0.041635 -0.205433 0.126328
0.047098 -0.226096 0.145182
0.284504 0.359620 0.841675
0.286806 0.358822 0.848996
0.284646 0.352187 0.842799
0.284803 0.348565 0.843626
0.284604 0.344477 0.843373
0.283872 0.339716 0.841503
0.283319 0.335186 0.840173
0.282411 0.330226 0.837768
0.281682 0.325497 0.835903
0.280777 0.320565 0.833504
0.280226 0.316069 0.832180
0.279323 0.311164 0.829785
0.278246 0.306070 0.826858
0.277522 0.301401 0.825005
0.276624 0.296543 0.822619
0.275376 0.291307 0.819168
0.274480 0.286486 0.816789
0.273586 0.281680 0.814412
0.273043 0.277267 0.813104
0.272674 0.273045 0.812328
0.272305 0.268823 0.811552
0.271937 0.264602 0.810777
0.271047 0.259845 0.808409
0.269985 0.254929 0.805515
0.269098 0.250207 0.803154
0.268213 0.245500 0.800796
0.267329 0.240809 0.798441
0.266964 0.236629 0.797673
0.266254 0.232124 0.795849
0.265718 0.227790 0.794555
0.265010 0.223303 0.792735
0.264474 0.218981 0.791443
0.263768 0.214513 0.789627
0.263404 0.210354 0.788863
0.262870 0.206048 0.787574
0.262336 0.201747 0.786286
0.261973 0.197593 0.785522
0.261440 0.193300 0.784236
0.261078 0.189149 0.783473
0.260715 0.184998 0.782710
0.260014 0.180584 0.780904
0.259651 0.176438 0.780142
0.259289 0.172292 0.779380
0.258589 0.167900 0.777578
0.257890 0.163517 0.775777
0.257361 0.159264 0.774498
0.256663 0.154900 0.772700
0.256135 0.150659 0.771423
0.255607 0.146424 0.770147
0.254912 0.142086 0.768355
0.254218 0.137758 0.766564
0.253357 0.133339 0.764259
0.252498 0.128935 0.761956
0.251808 0.124644 0.760172
0.251118 0.120364 0.758390
0.250428 0.116094 0.756610
0.249740 0.111834 0.754832
0.249218 0.107672 0.753569
0.248697 0.103515 0.752308
0.248342 0.099444 0.751560
0.247491 0.095137 0.749275
0.246972 0.090998 0.748017
0.246453 0.086865 0.746759
0.245934 0.082736 0.745503
0.245416 0.078613 0.744248
0.245062 0.074561 0.743503
0.244381 0.070382 0.741740
0.243864 0.066275 0.740487
0.243184 0.062114 0.738727
0.242668 0.058020 0.737477
0.241828 0.053825 0.735213
0.241151 0.049696 0.733459
0.240313 0.045530 0.731200
0.239638 0.041424 0.729450
0.238964 0.037329 0.727702
0.238453 0.033284 0.726461
0.237781 0.029208 0.724717
0.237109 0.025141 0.722974
0.236600 0.021117 0.721737
0.235930 0.017069 0.719997
0.235261 0.013032 0.718260
0.234593 0.009004 0.716524
0.234086 0.005009 0.715293
0.233739 0.001038 0.714563
0.233392 -0.002933 0.713833
0.233045 -0.006904 0.713104
0.232699 -0.010875 0.712374
0.232352 -0.014846 0.711644
0.231846 -0.018823 0.710416
0.231341 -0.022795 0.709188
0.231153 -0.026760 0.708958
0.230806 -0.030729 0.708228
0.230775 -0.034706 0.708493
0.230585 -0.038687 0.708260
0.230395 -0.042673 0.708025
0.230205 -0.046665 0.707789
0.230014 -0.050661 0.707553
0.229666 -0.054645 0.706821
0.229786 -0.058690 0.707571
0.229594 -0.062705 0.707331
0.229401 -0.066725 0.707090
0.229363 -0.070779 0.707341
