256 192
-0.136370 -0.428136 -0.092352
-0.139647 -0.430524 -0.092161
-0.143336 -0.433895 -0.092127
-0.146277 -0.435299 -0.091761
-0.149034 -0.436211 -0.091310
-0.152204 -0.438106 -0.091016
-0.155700 -0.440736 -0.090835
-0.159327 -0.443612 -0.090685
-0.162880 -0.446240 -0.090489
-0.164982 -0.445432 -0.089749
-0.166648 -0.443643 -0.088858
-0.168405 -0.442099 -0.088009
-0.170146 -0.440556 -0.087165
-0.171318 -0.437787 -0.086139
-0.173135 -0.436491 -0.085341
-0.175618 -0.436665 -0.084765
-0.178677 -0.438066 -0.084368
-0.180361 -0.436525 -0.083538
-0.183201 -0.437435 -0.083067
-0.186170 -0.438590 -0.082627
-0.189271 -0.439989 -0.082220
-0.191662 -0.439918 -0.081601
-0.194420 -0.440582 -0.081085
-0.198173 -0.443205 -0.080837
-0.202828 -0.447541 -0.080816
-0.207907 -0.452610 -0.080882
-0.212402 -0.456454 -0.080771
-0.216167 -0.458828 -0.080454
-0.219308 -0.459978 -0.079970
-0.224298 -0.464553 -0.079928
-0.230661 -0.471572 -0.080188
-0.234156 -0.473209 -0.079744
-0.235239 -0.470442 -0.078741
-0.237247 -0.469388 -0.077959
-0.239796 -0.469313 -0.077300
-0.243178 -0.470704 -0.076820
-0.246435 -0.471850 -0.076306
-0.249421 -0.472507 -0.075731
-0.252130 -0.472675 -0.075096
-0.255850 -0.474554 -0.074660
-0.257556 -0.473012 -0.073824
-0.258662 -0.470493 -0.072881
-0.260777 -0.469685 -0.072138
-0.265268 -0.472783 -0.071830
-0.270693 -0.477345 -0.071675
-0.274652 -0.479464 -0.071243
-0.276188 -0.477679 -0.070386
-0.279864 -0.479310 -0.069895
-0.284801 -0.482892 -0.069604
-0.282570 -0.475252 -0.068145
-0.282312 -0.470786 -0.067029
-0.284716 -0.470466 -0.066341
-0.288561 -0.472340 -0.065873
-0.288383 -0.468120 -0.064802
-0.287999 -0.463657 -0.063719
-0.289704 -0.462364 -0.062950
-0.292721 -0.463020 -0.062366
-0.295079 -0.462701 -0.061691
-0.296089 -0.460434 -0.060839
-0.296399 -0.457194 -0.059905
-0.296675 -0.453954 -0.058979
-0.298638 -0.453150 -0.058275
-0.301459 -0.453563 -0.057676
-0.301668 -0.450326 -0.056768
-0.302722 -0.448306 -0.055970
-0.302163 -0.444097 -0.054998
-0.304414 -0.443781 -0.054350
-0.309356 -0.447115 -0.053992
-0.316142 -0.452879 -0.053814
-0.323718 -0.459614 -0.053694
-0.328064 -0.461971 -0.053227
-0.371406 -0.515620 -0.056537
0.220848 -0.314132 -0.150709
0.213736 -0.304229 -0.146341
0.215688 -0.310748 -0.148532
0.216617 -0.315498 -0.150005
0.215468 -0.316458 -0.149967
0.213638 -0.316155 -0.149429
0.211544 -0.315347 -0.148693
0.209722 -0.315045 -0.148157
0.207902 -0.314742 -0.147621
0.205568 -0.313430 -0.146693
0.203631 -0.312876 -0.146063
0.202077 -0.313078 -0.145726
0.200522 -0.313281 -0.145388
0.199211 -0.313987 -0.145244
0.197648 -0.314190 -0.144905
0.196082 -0.314392 -0.144565
0.194634 -0.314846 -0.144320
0.192824 -0.314544 -0.143787
0.190781 -0.313737 -0.143064
0.188863 -0.313183 -0.142439
0.187065 -0.312882 -0.141909
0.185269 -0.312580 -0.141379
0.183363 -0.312026 -0.140757
0.181351 -0.311221 -0.140042
0.179567 -0.310919 -0.139516
0.177568 -0.310115 -0.138804
0.175576 -0.309310 -0.138095
0.173805 -0.309009 -0.137572
0.172036 -0.308708 -0.137050
0.170373 -0.308658 -0.136620
0.168914 -0.309112 -0.136372
0.167450 -0.309566 -0.136123
0.165782 -0.309516 -0.135692
0.164016 -0.309215 -0.135170
0.162252 -0.308915 -0.134649
0.160586 -0.308865 -0.134219
0.158921 -0.308816 -0.133788
0.157162 -0.308515 -0.133268
0.155221 -0.307712 -0.132572
0.153107 -0.306407 -0.131701
0.151274 -0.305855 -0.131097
0.149711 -0.306057 -0.130758
0.148232 -0.306511 -0.130505
0.146576 -0.306461 -0.130077
0.144668 -0.305659 -0.129389
0.142850 -0.305108 -0.128789
0.141365 -0.305561 -0.128535
0.139632 -0.305261 -0.128022
0.137744 -0.304460 -0.127339
0.135864 -0.303658 -0.126658
0.134221 -0.303610 -0.126234
0.132578 -0.303561 -0.125809
0.130862 -0.303261 -0.125300
0.129147 -0.302962 -0.124792
0.127364 -0.302412 -0.124201
0.125656 -0.302113 -0.123695
0.124020 -0.302064 -0.123272
0.122587 -0.302767 -0.123096
0.121013 -0.302969 -0.122754
0.119437 -0.303171 -0.122411
0.117731 -0.302872 -0.121905
0.116089 -0.302823 -0.121480
0.114509 -0.303025 -0.121137
0.112867 -0.302976 -0.120712
0.111283 -0.303178 -0.120367
0.109639 -0.303129 -0.119942
0.107995 -0.303080 -0.119517
0.106406 -0.303281 -0.119171
0.104815 -0.303483 -0.118824
0.103116 -0.303184 -0.118320
0.101625 -0.303885 -0.118129
0.100026 -0.304086 -0.117780
0.098375 -0.304037 -0.117354
0.096773 -0.304238 -0.117004
0.095213 -0.304689 -0.116731
0.093604 -0.304890 -0.116379
0.092036 -0.305340 -0.116104
0.090293 -0.304792 -0.115523
0.088597 -0.304493 -0.115020
0.087022 -0.304943 -0.114742
0.085443 -0.305393 -0.114463
0.083784 -0.305344 -0.114034
0.082124 -0.305295 -0.113605
0.080465 -0.305246 -0.113176
0.078873 -0.305695 -0.112894
0.077275 -0.306145 -0.112611
0.075611 -0.306096 -0.112181
0.073976 -0.306296 -0.111823
0.072283 -0.305997 -0.111320
0.070672 -0.306446 -0.111033
0.069031 -0.306646 -0.110674
0.067363 -0.306597 -0.110242
0.065672 -0.306298 -0.109740
0.064005 -0.306248 -0.109309
0.062359 -0.306448 -0.108948
0.060691 -0.306399 -0.108517
